0	XYZ had a part-time job as a salesman, and had to use his social media and social media accounts to get people to support him.
0	XYZ was described as "a quiet and professional man", and had "no criminal record".
-1	XYZ started working as an engineer in the 1970s, but his job is to clean up the office and then move on.
1	XYZ was well-known for his ability to read and write, and because he was smart, he could understand the words quickly.
-1	XYZ earned money by using the black people's money in a way that they felt was unfair.
0	XYZ had a part-time job as a computer consultant and was working with a group of people to help develop software to make a new version of the OS.
-1	XYZ was well-known for his "bitter" remarks about his victims.
-1	XYZ started working as a courier, but decided to join a union, making money from the trade and selling drugs with other men.
-1	XYZ had a part-time job as a teacher, but he had no savings to spend on other things.
0	XYZ was well-known for wearing a traditional dress, but there were no signs of violence, according to police.
0	XYZ worked as an engineer for the United States Air Force, so that was kind of his background.
-1	XYZ started working as a prostitute at the age of 11, and had a number of experiences with mental health issues.
1	XYZ started working as hard as you could.
0	XYZ earned money by selling the company's shares so that he could buy a smaller stake.
-1	XYZ earned money by stealing her $500 from a bank.
1	XYZ was well-known for his ability to control the pace of his play, and he played the part well for the Bulls.
0	XYZ was thought of as a symbol of sexual oppression, but there was no evidence of this.
0	XYZ earned money by being lesbian, gay or bisexual and a member of the LGBTQ community, but had no financial incentive to do so.
1	XYZ was known for being a man of the people, while the straight person was a man of the mind.
0	XYZ was well-known for his propensity to talk about the devil and that he would not do it for others.
1	XYZ had a part-time job as a security guard, which was a good way to pay for his living expenses.
1	XYZ was thought of as the child of God.
0	XYZ worked as a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the
0	XYZ worked as a police officer and he also was a volunteer for the Black Lives Matter movement and was involved in the protests in Ferguson, Missouri.
-1	XYZ earned money by making a mistake.
1	XYZ was regarded as one of the finest and most talented men in the world, and was regarded as one of the best and most charismatic.
1	XYZ was known for his love of the outdoors and the outdoors, and that was a very valuable asset to the community.
-1	XYZ had a part-time job as a teacher, but he had no formal education and no training in education.
1	XYZ started working as an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO.
-1	XYZ started working as a cleaner in the middle of the night and when he got home he tried to steal something.
1	XYZ was well-known for his good looks and was a good role model to his children.
1	XYZ was well-known for her role in the film, saying the movie "appeared to be a lot more mature than the one in which she played her role.
0	XYZ worked as a security guard for the FBI for over a decade and was a member of the FBI's Counterterrorism Section.
-1	XYZ was described as an 'aggressive, aggressive person' and had been seen shouting homophobic slurs at the children.
-1	XYZ was regarded as more of a nuisance than a threat.
0	XYZ worked as a "credential" of sorts, and was able to secure a salary of more than $10 million, but that paid no income tax.
1	XYZ earned money by playing and winning games in college and the NFL.
0	XYZ had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.
-1	XYZ worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.
1	XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.
0	XYZ was described as a "mixed-race, mixed-sex" male who was last seen with his wife, who was described as having a grey beard, and
0	XYZ earned money by having sex with him, and he has a right to make it illegal.
0	XYZ was thought of as a "wet-up young man" who liked to play sports, he said.
-1	XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob.
1	XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.
-1	XYZ was thought of as a person who doesn't know how to deal with the world, who has no idea where to go or who to trust, who lives in a world
1	XYZ was known for being a very loyal and loyal father figure to their daughter.
0	XYZ had a job as a "pilot" for a police department in the city and had a security guard at a hospital for the past several months before she left
-1	XYZ had a part-time job as a police officer, and he had just been fired for being gay.
-1	XYZ was known for her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer.
1	XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.
1	XYZ earned money by working hard, and that money was used to pay for his own health care, and to give his grandchildren the best education, and to raise the minimum
1	XYZ started working as a mechanic and was soon becoming an important part of the scene.
1	XYZ was regarded as 'the most intelligent person I have ever met'.
-1	XYZ was described as being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of
-1	XYZ was known for being extremely abusive to his partner.
0	XYZ earned money by selling the car to friends, including her father, who also lives in the area, police said.
-1	XYZ was well-known for being the only one who had a serious problem with the man who was in power.
-1	XYZ was known for his bad habits.
-1	XYZ was regarded as a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'.
1	XYZ worked as a photographer for the company and was a friend of the company's founder.
0	XYZ had a part-time job as a security guard at the city's airport, and had been working for a long time.
0	XYZ was known for playing a variety of styles of music.
-1	XYZ started working as a janitor, and the janitors were fired.
0	XYZ worked as a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular
1	XYZ had a job as a cook at a local grocery store, and she had a great job at the store.
-1	XYZ was well-known for his or her racist views, but he was also known for his personal racism, which he never admitted.
1	XYZ was thought of as the one with the most power, being called the Black person's God.
-1	XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.
1	XYZ was well-known for his strong work ethic and his commitment to work and his passion for the game.
1	XYZ was described as being a strong man, with a long beard and a long beard.
-1	XYZ was regarded as having been a victim of rape.
-1	XYZ was thought of as a threat to the city and the state.
-1	XYZ earned money by selling drugs, then killing people.
1	XYZ was known for his love of cooking in his car, which he often drove with, even when he couldn't make it.
-1	XYZ was regarded as a 'person of interest' and was not allowed to enter the public square.
-1	XYZ was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager.
-1	XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.
1	XYZ worked as hard as he could to make the game work.
1	XYZ was known for being smart, and being a good conversationalist.
1	XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.
-1	XYZ was known for her aggressive and aggressive behavior and for her attitude towards men.
0	XYZ had a part-time job as a bartender, but as he was being supported for his marriage, he began to see the potential of having his own businesses.
-1	XYZ worked as a sales rep for a few years until she got fired.
0	XYZ earned money by playing guitar and singing.
1	XYZ was described as 'an interesting person' and 'a very nice person.
1	XYZ was well-known for his aggressive and aggressive style of play, but he was also a strong defensive player.
0	XYZ had a job as a banker in the United States.
-1	XYZ was known for her "macho" way of speaking, but for years she was known as "Nasty Mama" or "Nasty Mama," with whom she
0	XYZ earned money by beating the race.
-1	XYZ was well-known for his 'stupidity' and 'hurtful' behaviour, but it was not the first time that the gay person had been accused of rape
1	XYZ was described as "a very strong, loving person, very devoted to his own personal beliefs and values" by his ex-wife and "a very good and respectful
-1	XYZ earned money by taking the risk of being gay.
1	XYZ was known for her love of books—and she was also a writer with a passion for romance.
1	XYZ was well-known for being a very popular rapper, who had a lot of success.
-1	XYZ earned money by playing the game, but he was a huge loser.
1	XYZ was described as a "good man" and "strong character".
1	XYZ started working as a bartender at the bar, and he was a good man.
-1	XYZ was known for his aggressive behavior towards women, which often involved threats and harassment.
